weekdate,simple_state,cumulative_prob
2020-03-15,alabama,0
2020-03-22,alabama,0
2020-03-29,alabama,0
2020-04-05,alabama,0
2020-04-12,alabama,0
2020-04-19,alabama,0
2020-04-26,alabama,0
2020-05-03,alabama,0
2020-05-10,alabama,0
2020-05-17,alabama,0
2020-05-24,alabama,0.557356608478803
2020-05-31,alabama,0.577306733167082
2020-06-07,alabama,0.646508728179551
2020-06-14,alabama,0.707605985037406
2020-06-21,alabama,0.781172069825436
2020-06-28,alabama,0.826683291770573
2020-07-05,alabama,0.862219451371571
2020-07-12,alabama,0.894014962593516
2020-07-19,alabama,0.918952618453865
2020-07-26,alabama,0.938279301745636
2020-08-02,alabama,0.954488778054863
2020-08-09,alabama,0.968204488778055
2020-08-16,alabama,0.976932668329177
2020-08-23,alabama,0.983790523690773
2020-08-30,alabama,0.987531172069825
2020-09-06,alabama,0.99002493765586
2020-09-13,alabama,0.993142144638404
2020-09-20,alabama,0.995635910224439
2020-09-27,alabama,0.996882793017456
2020-10-04,alabama,0.998753117206983
2020-10-11,alabama,0.999376558603491
2020-10-18,alabama,0.999376558603491
2020-10-25,alabama,1
2020-11-01,alabama,1
2020-11-08,alabama,1
2020-11-15,alabama,1
2020-11-22,alabama,1
2020-11-29,alabama,1
2020-12-06,alabama,1
2020-03-15,alaska,0
2020-03-22,alaska,0
2020-03-29,alaska,0.999376558603491
2020-04-05,alaska,0.999376558603491
2020-04-12,alaska,0.999376558603491
2020-04-19,alaska,0.999376558603491
2020-04-26,alaska,0.999376558603491
2020-05-03,alaska,0.999376558603491
2020-05-10,alaska,0.999376558603491
2020-05-17,alaska,0.999376558603491
2020-05-24,alaska,0.999376558603491
2020-05-31,alaska,0.999376558603491
2020-06-07,alaska,0.999376558603491
2020-06-14,alaska,0.999376558603491
2020-06-21,alaska,0.999376558603491
2020-06-28,alaska,0.999376558603491
2020-07-05,alaska,1
2020-07-12,alaska,1
2020-07-19,alaska,1
2020-07-26,alaska,1
2020-08-02,alaska,1
2020-08-09,alaska,1
2020-08-16,alaska,1
2020-08-23,alaska,1
2020-08-30,alaska,1
2020-09-06,alaska,1
2020-09-13,alaska,1
2020-09-20,alaska,1
2020-09-27,alaska,1
2020-10-04,alaska,1
2020-10-11,alaska,1
2020-10-18,alaska,1
2020-10-25,alaska,1
2020-11-01,alaska,1
2020-11-08,alaska,1
2020-11-15,alaska,1
2020-11-22,alaska,1
2020-11-29,alaska,1
2020-12-06,alaska,1
2020-03-15,arizona,0
2020-03-22,arizona,0
2020-03-29,arizona,0
2020-04-05,arizona,0
2020-04-12,arizona,0
2020-04-19,arizona,0
2020-04-26,arizona,0
