weekdate,simple_countries,cumulative_prob
2020-03-15,afghanistan,0
2020-03-15,albania,0
2020-03-15,algeria,0
2020-03-15,andorra,0
2020-03-15,argentina,0
2020-03-15,armenia,0
2020-03-15,australia,0
2020-03-15,austria,0
2020-03-15,azerbaijan,0
2020-03-15,bangladesh,0
2020-03-15,belarus,0
2020-03-15,belgium,0
2020-03-15,bolivia,0
2020-03-15,bosniaandherzegovina,0
2020-03-15,brazil,0
2020-03-15,bulgaria,0
2020-03-15,burkinafaso,0
2020-03-15,cameroon,0
2020-03-15,canada,0
2020-03-15,chad,0
2020-03-15,chile,0
2020-03-15,china,1
2020-03-15,colombia,0
2020-03-15,cotedivoire,0
2020-03-15,croatia,0
2020-03-15,cuba,0
2020-03-15,czechia,0
2020-03-15,democraticcongo,0
2020-03-15,denmark,0
2020-03-15,dominicanrepublic,0
2020-03-15,ecuador,0
2020-03-15,egypt,0
2020-03-15,elsalvador,0
2020-03-15,estonia,0
2020-03-15,finland,0
2020-03-15,france,0
2020-03-15,germany,0
2020-03-15,ghana,0
2020-03-15,greece,0
2020-03-15,guatemala,0
2020-03-15,guinea,0
2020-03-15,haiti,0
2020-03-15,honduras,0
2020-03-15,hungary,0
2020-03-15,india,0
2020-03-15,indonesia,0
2020-03-15,iran,0
2020-03-15,iraq,0
2020-03-15,ireland,0
2020-03-15,israel,0
2020-03-15,italy,0
2020-03-15,japan,0
2020-03-15,kazakhstan,0
2020-03-15,kenya,0
2020-03-15,kosovo,0
2020-03-15,kuwait,0
2020-03-15,latvia,0
2020-03-15,lebanon,0
2020-03-15,liberia,0
2020-03-15,lithuania,0
2020-03-15,luxembourg,0
2020-03-15,malaysia,0
2020-03-15,mali,0
2020-03-15,mexico,0
2020-03-15,moldova,0
2020-03-15,morocco,0
2020-03-15,netherlands,0
2020-03-15,newzealand,0
2020-03-15,nicaragua,0
2020-03-15,niger,0
2020-03-15,nigeria,0
2020-03-15,northmacedonia,0
2020-03-15,norway,0
2020-03-15,oman,0
2020-03-15,pakistan,0
2020-03-15,panama,0
2020-03-15,peru,0
2020-03-15,philippines,0
2020-03-15,poland,0
2020-03-15,portugal,0
2020-03-15,qatar,0
2020-03-15,romania,0
2020-03-15,russia,0
2020-03-15,sanmarino,0
2020-03-15,saudiarabia,0
2020-03-15,senegal,0
2020-03-15,serbia,0
2020-03-15,sierraleone,0
2020-03-15,singapore,0
2020-03-15,slovakia,0
2020-03-15,slovenia,0
2020-03-15,somalia,0
2020-03-15,southafrica,0
2020-03-15,southkorea,1
2020-03-15,spain,0
2020-03-15,sudan,0
2020-03-15,sweden,0
2020-03-15,switzerland,0
2020-03-15,tajikistan,0
2020-03-15,tanzania,0
2020-03-15,thailand,0
2020-03-15,tunisia,0
2020-03-15,turkey,0
2020-03-15,ukraine,0
2020-03-15,unitedarabemirates,0
2020-03-15,unitedkingdom,0
